,Car Park,Weekdays  before 5/6pm,Weekdays  after 5/6pm,Saturdays,Sundays/Public Holidays
200,Income At Raffles,2am-6.30pm: $3.20/30min,6.30pm-2am the following day: $3.70 per entry,2am-2pm: $3.20/30min; 2pm-2am the following day: $3.70 per entry.,2am-6.29am: $3.20/30min; 6.30am-2am the following day: $3.70 per entry.
201,Inter-continental Singapore Hotel,8am-5pm: $1.60 for 1st hr; $0.40 for sub. 10mins,5pm-8am the following day: $2.70 for 1st 2hr; $0.27 for sub. 10mins,8am-8am the following day: $2.70 for 1st 2hr; $0.27 for sub. 10mins,8am-8am the following day: $2.70 for 1st 2hr; $0.27 for sub. 10mins
202,InterContinental Singapore Robertson Quay,"7am-6pm: $3.50 for 1st hr, $2 for next sub hr.",6pm-10pm: $5 per entry. 10pm-7am the following day: $2 for next sub 30 min.,"7am-6pm: $3.50 for 1st hr, $2 for next sub hr.","7am-6pm: $3.50 for 1st hr, $2 for next sub hr."
203,International Plaza,7am-5pm: $2.20 per 30 mins,5pm-7am the following day: $3 per entry,7am-3pm: $2.20 per 30 mins; 3pm-7am the following day: $3 per entry,$3 per entry
204,Keck Seng Tower,8am-6pm: $2.50 per ½ hr,6pm-10pm: $2.50 per entry,8am-2pm: $2.50 per ½ hr; 2pm-10pm: $2.50 per entry,Closed
205,Keppel Bay Tower / Harbourfront Tower One,7am-7pm: $1.03 per ½ hr,7pm-1am: $3.10 per entry; Aft 1am: $3.10 per hr,7am-7pm: $1.03 per ½ hr,7am-7pm: $1.03 per ½ hr
206,"klapsons, The Boutique Hotel","6.30am-6.30pm: $3 for 1st 3hr, $1.50 for next sub 30min",6.30pm to 6.30am - $ 4.00 flat,After 2pm - $4.00 flat,$4.00 flat
207,Landmark Village Hotel,8am-5pm:$2.35 for 1st hr; $1.07 for sub ½ hr.,5pm-8am the following day: $2.68 per entry.,8am-5pm:$2.35 for 1st hr; $1.07 for sub ½ hr.,$2.68 per entry.
208,M Hotel,7am-6pm: $2.80 per ½ hr,6pm-7am next day: $5.80 per entry,7am-1pm: $2.80 per ½ hr; after 1pm: $5.80 per entry,7am to 7am next day: $5.80 per entry
209,Mandarin Oriental Hotel,Mon-Thu: 7am-5pm: $3.27 for 1st 2hrs; $1.64 per ½ hr for sub. ½ hr (Car Park at Marina Square),Mon-Thu: 5pm-11pm: $2.25 per entry; 11pm-7am: $1.12 per ½ hr,Fri/Sat-Sun/PH: 7am-2am :$2.44 for 1st 2 hrs; $1.22 per hr for sub. 2hrs; $1.43 per ½ hr for sub. ½ hr after 4 hrs of parking. 2am-7am: $1.12 per ½ hr,Fri/Sat-Sun/PH: 7am-2am :$2.44 for 1st 2 hrs; $1.22 per hr for sub. 2hrs; $1.43 per ½ hr for sub. ½ hr after 4 hrs of parking. 2am-7am: $1.12 per ½ hr
210,Manulife Tower,6am-6pm: $2.60 per ½ hr,6pm-6am next day: $3.20 per entry,6am-8pm: $3.20 per entry car park closed at 8pm,6am-8pm: $3.20 per entry car park closed at 8pm
211,Marina Barrage,"5am-6pm: $0,025/min for the 1st 5hr, $0.05/min for next subsequent hr",6.01pm-12am: $0.02/min; 12.01am-4.59am: $0.05/min,"5am-6pm: $0,025/min for the 1st 5hr, $0.05/min for next subsequent hr","5am-6pm: $0,025/min for the 1st 5hr, $0.05/min for next subsequent hr"
212,Marina Bay Financial Centre Tower 1,6am-6pm: $1.18/10 mins block or part thereof,Aft 6pm: $3.21 for 1st 4hrs; $0.30 for sub. 10 mins block or part thereof.,From 6am: $3.21 for 1st 4hrs; $0.30 for sub. 10 mins block or part thereof,From 6am: $3.21 for 1st 4hrs; $0.30 for sub. 10 mins block or part thereof
213,Marina Bay Financial Centre Tower 2,6am-6pm: $1.18/10 mins block or part thereof,Aft 6pm: $3.21 for 1st 4hrs; $0.30 for sub. 10 mins block or part thereof.,From 6am: $3.21 for 1st 4hrs; $0.30 for sub. 10 mins block or part thereof,From 6am: $3.21 for 1st 4hrs; $0.30 for sub. 10 mins block or part thereof
214,Marina Bay Financial Centre Tower 3,6am-6pm: $1.18/10 mins block or part thereof,Aft 6pm: $3.21 for 1st 4hrs; $0.30 for sub. 10 mins block or part thereof.,From 6am: $3.21 for 1st 4hrs; $0.30 for sub. 10 mins block or part thereof,From 6am: $3.21 for 1st 4hrs; $0.30 for sub. 10 mins block or part thereof
215,Marina Bay Link Mall,6am-6pm: $1.18/10 mins block or part thereof,Aft 6pm: $3.21 for 1st 4hrs; $0.30 for sub. 10 mins block or part thereof.,From 6am: $3.21 for 1st 4hrs; $0.30 for sub. 10 mins block or part thereof,From 6am: $3.21 for 1st 4hrs; $0.30 for sub. 10 mins block or part thereof
216,Marina Bay Sands,"$14 for 1st hr, $1.50 for every sub ½ hr. Max charge: $32 per 24 hours","$14 for 1st hr, $1.50 for every sub ½ hr. Max charge: $32 per 24 hours","$14 for 1st hr, $1.50 for every sub ½ hr. Max charge: $32 per 24 hours","$14 for 1st hr, $1.50 for every sub ½ hr. Max charge: $32 per 24 hours"
217,Marina Mandarin Hotel,Mon-Thu: 7am-5pm: $3.27 for 1st 2hrs; $1.64 per ½ hr for sub. ½ hr (Car Park at Marina Square),Mon-Thu: 5pm-11pm: $2.25 per entry; 11pm-7am: $1.12 per ½ hr,Fri/Sat-Sun/PH: 7am-2am :$2.44 for 1st 2 hrs; $1.22 per hr for sub. 2hrs; $1.43 per ½ hr for sub. ½ hr after 4 hrs of parking. 2am-7am: $1.12 per ½ hr,Fri/Sat-Sun/PH: 7am-2am :$2.44 for 1st 2 hrs; $1.22 per hr for sub. 2hrs; $1.43 per ½ hr for sub. ½ hr after 4 hrs of parking. 2am-7am: $1.12 per ½ hr
218,Marina One,6am-6.59pm: $3.27 per 30mins,7pm-5.59am (next day): $3.27 per entry.,$3.27 per entry per day.,$3.27 per entry per day.
219,Marina Square,Mon-Thu: 7am-5pm: $3.27 for 1st 2hrs; $1.64 per ½ hr for sub. ½ hr,Mon-Thu: 5pm-11pm: $2.25 per entry; 11pm-7am: $1.12 per ½ hr,Fri/Sat-Sun/PH: 7am-2am :$2.44 for 1st 2 hrs; $1.22 per hr for sub. 2hrs; $1.43 per ½ hr for sub. ½ hr after 4 hrs of parking. 2am-7am: $1.12 per ½ hr,Fri/Sat-Sun/PH: 7am-2am :$2.44 for 1st 2 hrs; $1.22 per hr for sub. 2hrs; $1.43 per ½ hr for sub. ½ hr after 4 hrs of parking. 2am-7am: $1.12 per ½ hr
220,Millenia Singapore (Basement Car Park),7am-6pm: $3.40 for 1st hr; $1.20 per sub.½ hr,6pm to 7am: $2.30 per entry,7am to 7am next day: $2.30 for 1st 2hrs; $1.20 per sub.1hr,7am to 7am next day: $2.30 for 1st 2hrs; $1.20 per sub.1hr
221,Millenia Walk (Basement Car Park),7am-6pm: $3.40 for 1st hr; $1.20 per sub.½ hr,6pm to 7am: $2.30 per entry,7am to 7am next day: $2.30 for 1st 2hrs; $1.20 per sub.1hr,7am to 7am next day: $2.30 for 1st 2hrs; $1.20 per sub.1hr
222,Millenia Walk (Surface parking @ L1),7am-6pm: $6.70 for 1st ½ hr; $2.30 every sub. 1hr,6pm-7am: $6.70 for 1st 2hrs; $2.30 every sub.1hr,7am-7am (next day): $6.70 for 1st 2hrs; $2.30 every sub. ½ hr,7am-7am (next day): $6.70 for 1st 2hrs; $2.30 every sub. ½ hr
223,National Gallery,7am-6pm: $1.40 per ½ hr.,6pm-1am: $3.30 per entry,7am-6pm: $1.40 per ½ hr.,7am-6pm: $1.40 per ½ hr.
224,Neil Road Off-Street,7am-5pm: $1.20/30 mins,5pm-7am the following day: $0.60/30 Mins. Charges capped at $5.60 for parking from 10.30pm-7am the next day,7am-5pm: $1.20/30 mins,7am-7am the next day: $0.60/30 mins. Charges capped at $5.60 for parking from 10.30pm-7am the next day
225,North Bridge Centre,8am-4.59pm: $1.50/30min,5pm-11pm: $4 per entry,8am-4.59pm: $1.50/30min,8am-11pm: $4 per entry
226,Novotel Clarke Quay,7am-5pm: $1.07 per hr,5pm-7am: $3.21 per entry,7am-1pm: $1.07 per hr; 1pm-7am next day: $3.21 per entry,7am-1pm: $1.07 per hr; 1pm-7am next day: $3.21 per entry
227,NTUC Income Centre,6.30am-5pm: $1.10 for every ½ hr or part thereof,5pm-11pm: $3.00 per entry. After 11pm - closed,6.30am-5pm: $1.10 for every ½ hr or part thereof,$3.00 per 4 hr block.
228,OCBC Centre,6am-6pm: $2.60 per 30min,6pm-12am: $3.30 per entry; 12am-6am the followng day: $3.30 per hr.,6pm-12am: $3.30 per entry; 12am-6am: $3.30 per hr.,6pm-12am: $3.30 per entry; 12am-6am: $3.30 per hr.
229,One Fullerton,7.01am-6pm: $1.20 per 10min,6.01pm-12am: $6.54 per entry. 12.01am-7am:$7.63 per entry,7.01am-12am: $6.54 per entry; 12.01am-7am-$7.63 per entry,7.01am-12am: $6.54 per entry; 12.01am-7am-$7.63 per entry
230,One George Street,7am-6pm: $2.50 per ½ hr,Aft 6pm: $3.60 per entry,7am-1pm: $2.50 per ½ hr; 1pm-7am: $3.60 per entry.,$3.60 per entry
231,One Raffles Place,7am-5pm : $3.27 per ½ hr,5pm-6.59am next day: $3.82 per entry,7am-6.59am next day: $3.82 per entry,7am-6.59am next day: $3.82 per entry
232,One Raffles Quay,6am-6pm: $1.18/10min,6pm-6am next day: $3.21 for 1st 4hrs; $0.30 for sub. 10mins,6am-6am next day: $3.21 for 1st 4hrs; $0.30 for sub. 10mins,6am-6am next day: $3.21 for 1st 4hrs; $0.30 for sub. 10mins
233,One Shenton,7am-6.59pm: $4.86 for 1st hr; $0.09 for sub. mins.,7pm-6.59am the following day: $3.24 per entry.,7am-6.59am the following day: $3.24 per entry.,7am-6.59am the following day: $3.24 per entry.
234,OUE Bayfront,7am-5.59pm: $1.07 per 10min block,6pm-7am next day: $3.75 per entry,7am-3pm: $1.07/10min block. 3pm-11.59am next day: $3.75 per entry,$3.75 per entry
235,OUE Downtown 1,7am-4.59pm: $2.70 per 30 mins,5pm-6.59am the following day: $2.70 per entry,7am-6.59am the following day: $2.70 per entry,7am-6.59am the following day: $2.70 per entry
236,OUE Downtown 2,7am-4.59pm: $2.70 per 30 mins,5pm-6.59am the following day: $2.70 per entry,7am-6.59am the following day: $2.70 per entry,7am-6.59am the following day: $2.70 per entry
237,Pan Pacific Hotel,Mon-Thu: 7am-5pm: $3.27 for 1st 2hrs; $1.64 per ½ hr for sub. ½ hr (Car Park at Marina Square),Mon-Thu: 5pm-11pm: $2.25 per entry; 11pm-7am: $1.12 per ½ hr,Fri/Sat-Sun/PH: 7am-2am :$2.44 for 1st 2 hrs; $1.22 per hr for sub. 2hrs; $1.43 per ½ hr for sub. ½ hr after 4 hrs of parking. 2am-7am: $1.12 per ½ hr,Fri/Sat-Sun/PH: 7am-2am :$2.44 for 1st 2 hrs; $1.22 per hr for sub. 2hrs; $1.43 per ½ hr for sub. ½ hr after 4 hrs of parking. 2am-7am: $1.12 per ½ hr
238,Parklane Shopping Mall,7am-5pm: $3.20 for 1st hr; $1.60 for sub. 30min.,5.01pm-6.59am the followng day: $3.75/entry.,7am-5pm: $3.20 for 1st hr; $1.60 for sub. 30min.,7am-6.59am the followng day: $3.75 per entry
239,PARKROYAL On Beach Road,7am-5pm: Multi Storey Carpark - $2.50 for 1st hr; $1.50 for sub. ½ hr. Hotel Driveway - $6 for 1st hr; $2 for sub. ½ hr.,Aft 5pm: Multi Storey Carpark - $2.50 per entry. Hotel Driveway - $6 per entry.,Charges same as weekdays but $2.50 per entry (Multi-Storey Carpark) & $6 per entry (Hotel Driveway) after 1pm.,Multi-Storey Carpark - $2.50 per entry. Hotel Driveway - $6 per entry.
240,PARKROYAL On Pickering,8am-5pm: $5 for 1st hr; $2.50 for sub. ½ hr.,5pm-8am the following day: $5 for 1st hr; $2.50 for sub. ½ hr.,8am-5pm: $5 for 1st hr; $2.50 for sub. ½ hr.,8am-5pm: $5 for 1st hr; $2.50 for sub. ½ hr.
241,Peninsula Excelsior Hotel,6am-5.59pm: $3.50 for 1st hr; $2 for sub 30min,6pm-5.59am next day: $6 per entry,6am-5.59pm: $4 for 1st hr; $2.50 for sub 30min. 6pm-5.59am next day: $6 per entry,6am-5.59pm: $3.50 for 1st hr; $2 for sub 30min
242,People's Park Centre,7am-7pm: $3.42 per hr,7pm-7am next day: $5 per entry,7am-7pm: $3.42 per hr,7am-7pm: $3.42 per hr
243,People's Park Complex Carpark,$3.38 for 1st hr; $0.84 for sub. 15min.,6pm-12am: $5.07 per entry,$3.38 for 1st hr; $0.84 for sub. 15min.,$3.38 for 1st hr; $0.84 for sub. 15min.
244,Raffles City Shopping Centre,8am-5.59pm: $2.60 for 1st hr; $0.65 for sub. 15mins,6pm-7.59am next day: $3.25 per entry,8am-7.59am (the next day): $2.60 for 1st 2 hr; $0.65 for sub. 15mins,8am-7.59am (the next day): $2.60 for 1st 2 hr; $0.65 for sub. 15mins
245,Raffles Hotel,6am-10.59pm: $4 for 1st hr; $1.50 for sub. 30mins,11pm-5.59am: $4 per entry,6am-10.59pm: $4 for 1st hr; $1.50 for sub. 30mins,6am-10.59pm: $4 for 1st hr; $1.50 for sub. 30mins
246,Rendezvous Hotel,7am-7am the following day: $3.70 for 1st hr; $1.90 for sub.½ hr,7am-7am the following day: $3.70 for 1st hr; $1.90 for sub.½ hr,7am-7am the following day: $3.70 for 1st hr; $1.90 for sub.½ hr,7am-7am the following day: $3.70 for 1st hr; $1.90 for sub.½ hr
247,Republic Plaza,7am-5pm: $3.33 per ½ hr or part thereof.,Aft 5pm: $3.63 per entry,7am-7am next day: $3.63 per entry,Same s Saturday
248,Resorts World Sentosa (RWS),Mon-Thurs(excludes PH):12am-11:59pm: $6 for 1st hr; $1.10 for ½ hr or part thereof. Fri/Sat/Sun/PH: 12am-11.59pm: $9.70 for 1st hr; $1.10 for ½ hr or part thereof.,-,-,-
249,Riverside Point,6am-5.59pm: $2.51 for 1st hr; $0.63 for sub. 15min.,6pm-12am: $3.82 per entry.,6am-5.59pm: $2.51 for 1st hr; $0.63 for sub. 15min.,6am-5.59pm: $2.51 for 1st hr; $0.63 for sub. 15min.
250,Robertson Walk,6am-6pm: $1.65 for 1st hr entry; $0.6 for sub. 30min or part thereof.,6pm-6am next day: $4.35 per entry,6am-6pm: $1.65 for 1st hr entry; $0.6 for sub. 30min or part thereof.,6am-6pm: $1.65 for 1st hr entry; $0.6 for sub. 30min or part thereof.
251,Robinson 77,7am-5pm: $2.50 per 30min,5pm-11pm: $3 per entry,7am-2pm: $2.50 per 30min; 2pm-11pm: $3 per entry,7am-7am next day: $3 per entry
252,"School of the Arts, Singapore (SOTA)",6am-5.59pm: $0.04 per min.,6pm-2am next day: $5 per entry. 2.01am-5.59am: $5 additional fee for overnight parking,6am-5.59pm: $0.04 per min.,6am-5.59pm: $0.04 per min.
253,SGX Centre,7am-5pm: $2.73 per 30 min,5pm-10pm: $3.27 per entry (Car Park closes at 10pm daily),7am-10pm: $3.27 per entry,7am-10pm: $3.27 per entry
254,Shenton House,8am-5pm: $3.21 per ½ hr,5pm-8am: $3.21 per entry,8am-2pm: $3.21 per ½ hr; 2pm-8am the following day: $3 per entry.,8am-8am next day: $3.21 per entry
255,Sim Lim Square,8am-8am the following day: $1.80 per 30min for 1st hr; $0.06 per min.,8am-8am the following day: $1.80 per 30min for 1st hr; $0.06 per min.,8am-8am the following day: $1.80 per 30min for 1st hr; $0.06 per min.,8am-8am the following day: $1.80 per 30min for 1st hr; $0.06 per min.
256,Sim Lim Tower,8.30am-6pm: $1.60 per 30 min,6pm-8.30am the following day: $1.60 per 30 min,8.30am-6pm: $1.60 per 30 min,8.30am-6pm: $1.60 per 30 min
257,Singapore Chinese Cultural Centre,7am-5pm: $2.25 per 30 mins block,Aft 5pm: $3.50 per entry,$3.50 per entry,Same s Saturday
258,Singapore General Hospital (Carpark G),7am-5.59pm: No Entry (Staff Parking Only),"5.30pm-9.59pm: $0.036 per min, $2.18 per hr. 10pm-6.59am: $2.16 per entry.","7am-9.59pm: $0.036 per min, $2.18 per hr. 10pm-6.59am: $2.16 per entry.","7am-9.59pm: $0.018 per min, $1.09 per hr. 10pm-6.59am: $2.16 per entry."
259,Singapore General Hospital (Multi-Storey Carpark H),"7am-9.59pm: $0.019 per min, $1.14 per hr",10pm-6.59am: $2.16 per entry,"7am-9.59pm: $0.019 per min, $1.14 per hr",$2.16 per entry
260,Singapore General Hospital (National Heart Centre Singapore),"7am-9.59pm: $0.037 per min, $2.22 per hr",10pm-6.59am: $2.16 per entry,"7am-9.59pm: $0.037 per min, $2.22 per hr","7am-9.59pm: $0.019 per min, $1.14 per hr; 10pm-6.59am: $2.16 per entry"
261,Singapore Land Tower,7am-6pm: $3.02/30mins,6.01pm-6.59am the following day: $5.40/per entry,7am-6pm: $3.02/30mins,6.01pm-6.59am the following day: $5.40/per entry
262,Six Battery Road,7am-5.59pm: $3.15 per 30min,6pm-6.59am the following day: $3.75 per entry,7am-12.59pm: $3.15 per 30min; 1pm-7am the following day: $3.75 per entry,7am-7am the following day: $3.70 per entry
263,South Bridge Tower,7am-5pm: $2.40 per hr or part thereof.,5pm-11.59pm: $3.50 per entry. 12mn-6.59am: $3.50 per entry.,$5.00 per entry.,$5.00 per entry.
264,Stamford Court,"8am-6pm: $2.64 for 1st hr, $2.04 for sub. ½ hr",6pm-8am: $2.52 per entry.,"8am-6pm: $2.64 for 1st hr, $2.04 for sub. ½ hr","8am-6pm: $1.32 per hr, $2.52 per entry."
265,Sunshine Plaza,(Mon to Thurs) 7am-9.59pm: $2.16 for 1st hr; $0.04 for next sub. min.,(Mon to Thurs) 10pm-6.59am the following day: $5.40 per entry,(Fri to Sat) 7am-9.59pm: $2.38 for 1st hr; $0.04 for next sub. min. 10pm-6.59am the following day: $5.40 per entry,7am-9.59pm: $2.38 for 1st hr; $0.04 for next sub. min. 10pm-6.59am the following day: $5.40 per entry
266,Suntec City,7am-5pm: $2.60 for 1st hr; $1.30 per 30 mins or part thereof,5pm-4am next day:$3 per entry; 4am-7am: $2.60 for 1st hr; $1.30 per 30 mins or part thereof,7am-4am: $2.60 for 1st hr; $1.30 for the next 3 hrs; $1.30 after the 4th hr (per 30 mins or part thereof); 4am-7am: $2.60 for 1st hr; $1.30 per 30 mins or part thereof,7am-4am: $2.60 for 1st hr; $1.30 for the next 3 hrs; $1.30 after the 4th hr (per 30 mins or part thereof); 4am-7am: $2.60 for 1st hr; $1.30 per 30 mins or part thereof
267,Swissotel Merchant Court Hotel,8am-5pm: $4.50 for 1st hr;$1.50 for next sub 30min,5pm-8am the following day: $4.50 for 1st hr;$1.50 for next sub 30min,8am-5pm: $4.50 for 1st hr;$1.50 for next sub 30min,8am-5pm: $4.50 for 1st hr;$1.50 for next sub 30min
268,Swissotel Stamford Hotel,8am-6pm: $2.20 for 1st hr; $0.55 for sub. 15mins,Aft 6pm-8am next day: $3 per entry,"8am-8am next day: $2.20 for 1st 2hrs, $0.40 for sub. 15mins","8am-8am next day: $2.20 for 1st 2hrs, $0.40 for sub. 15mins"
269,The Adelphi,6am-5pm: $2.44 per hr; $1.22 per sub. ½ hr,Aft 5pm: $3.27 per entry.,6am-5pm: $2.44 per hr; $1.22 per sub. ½ hr,$3.27 per entry
270,The Concourse,7am-5pm: $3.21 for 1st hr; $1.605 for sub. ½ hr.,Aft 5pm: $4.28 per entry,7am-12pm: $3.20 for 1st hr; $1.50 for sub. ½ hr. 12pm-7am: $4.28 per entry.,$4 per entry after 5pm
271,The Corporate Office,7.01am-5pm: $4 per hr,Aft 5pm to 7.01am: $2.50 per entry,7.01am-5pm: $4 per hr,Closed
272,The Esplanade,$2.30 per hour or part thereof.,$2.30 per hour or part thereof.,$2.30 per hour or part thereof.,$2.30 per hour or part thereof.
273,The Gateway,7am-6pm: $2.70 for 1st hr; $1.42 for sub. 30 min.,After 6pm: $3.02 per entry.,7am-1pm: $2.70 for 1st hr; $1.42 for sub. 30 min. 1pm-7am the following day: $3.02 per entry.,$3.02 per entry.
274,The Ritz-Carlton Millenia Singapore,7am-6pm: $3.40 for 1st hr; $1.20 for sub.½ hr,6pm-7am next day: $2.30 per entry,7am-7am (next day): $2.30 for 1st 2hrs; $1.20 per sub. 1hr,7am-7am (next day): $2.30 for 1st 2hrs; $1.20 per sub. 1hr
275,The Sail@Marina Bay,6am-6pm: $4/hr,6pm-5.59am: $1.50/hr,6am-5.59pm: $4/hr; 1pm onwards: $1.50/hr,$1.50/hr
276,UE Square,8am-5pm: $2.18 for 1st hr; $1.09 for sub. hr,5pm-8am next day: $3.27 per entry,8am-1pm: $2.18 for 1st hr; $1.09 for sub. hr; 1pm-8am: $3.27 per entry,$3.27 per entry
277,UOB Plaza,7am-6pm: $3/30mins,6pm-12am: $4 per entry. Aft 12am-7am next day: $4 per entry,7am-12am: $4 per entry. 12am-7am: $4 per entry,7am-12am: $4 per entry. 12am-7am: $4 per entry
278,UP@Robertson Quay,6am-6pm: $1.50 for 1st hr; $0.50 for sub. ½ hr,6pm-6am: $4 per entry,6am-6pm: $1.50 for 1st hr; $0.50 for sub. ½ hr,6am-6pm: $1.50 for 1st hr; $0.50 for sub. ½ hr
279,Vivocity,7am-6pm: $1.60 for 1st hr; $0.80 for sub. 30 mins or part thereof.,6pm-4am: $3.20 per entry; 4am-7am: $2.50 per hr,7am-6pm: $2 for 1st hr; $1 for sub. 30mins or part thereof; 6pm-4am: $3.80 per entry; 4am-7am: $2.50 per hr,7am-6pm: $2 for 1st hr; $1 for sub. 30mins or part thereof; 6pm-4am: $3.80 per entry; 4am-7am: $2.50 per hr
280,100 Pasir Panjang,7am-7pm: $1.80 for 1st hr or part thereof; $0.80 for sub. 1/2 hr or part thereof,7pm-7am (next day): $3.50/entry,7am-7pm: $1.80 for 1st hr or part thereof; $0.80 for sub. 1/2 hr or part thereof,7am-7am (next day): $3.50/entry
281,27 West Coast Highway,6am-6am next day: $1.20 for 1st hr; sub. $0.60/30 mins; 6pm-2am next day: $2 per entry; 2am-6am: $20 per entry,-,-,-
282,34 Boon Leat Terrace,7am-5.59pm: $2.20 for 1st hr; $1.10 for sub. 30min,6am-7am (next day): $2.50/entry.,"7am-1pm: $1.60 for 1st hr, $0.80 for sub. 30min; 1pm-7am(next day): $2.50 per entry",7am-6.59am: $2.50/entry
283,Alexandra Retail Centre,7am-6.30pm: $2.30/hr or part thereof,6.30pm-11pm: Free; 11pm-7am: $2.50/hr or part thereof,7am-11pm: Free 11pm-7am: $2.50/hr or part thereof,7am-11pm: Free 11pm-7am: $2.50/hr or part thereof
284,Anchorpoint Shopping Centre,8am-5.59pm: $2/hr or part thereof,6pm-6.59am: $3 per entry,8am-5.59pm: $2/hr or part thereof,8am-5.59pm: $2/hr or part thereof
285,Ayer Rajah Industrial Estate,7am-6pm: $1 per ½ hr or part thereof (per min. charging),After 6pm: $1 per entry,7am-7am: $1 per entry,7am-7am: $1 per entry
286,Bijou,7am-6pm: $1.28 for 1st hr; $0.32 for sub. 15min,6.01pm-6.59am next day: $2.14 per entry,7am-6pm: $1.28 for 1st hr; $0.32 for sub. 15min,7am-6.59am next day: $2.14 per entry
287,Biopolis,7am-5pm next day: $1.20/hr or part thereof,5pm-7am next day: Free parking,7am-5pm next day: $1.20/hr or part thereof,7am-5pm next day: $1.20/hr or part thereof
288,Bukit Panjang Plaza,12am-5.59pm: $1.40 for 1st hr; $0.45 for sub. 15 mins or part thereof,6pm-11.59pm: $2.75 per entry,12am-5.59pm: $2.75 for 1st 2 hrs; $0.45 for sub. 15 mins or part thereof; 6pm-11.59pm: $2.75 per entry,12am-5.59pm: $2.75 for 1st 2 hrs; $0.45 for sub. 15 mins or part thereof; 6pm-11.59pm: $2.75 per entry
289,Bukit Timah Plaza (Multi-Storey Car Park),7.30am-5pm: $1.65 per hr,5.01pm-7.29am: $2.85 per entry,7.30am-5pm: $1.80 per hr; 5.01pm-7.29am: $2.85 per entry,7.30am-5pm: $2.85 for first (3) hours or part thereof; $1.65 for each subsequent 1 hour or part thereof; 5.01pm-7.29am: $2.85 per entry
290,Bukit Timah Shopping Centre,7am-5pm: $1.93 per hr,5.01pm-7am: $3.64 per entry,7am-5pm: $1.93 per hr,7am-5pm: $1.93 per hr
291,Coronation Shopping Plaza,Daily(7am-7am): $2.30 per hr,-,-,-
292,Devan Nair Institute for Employment and Employability,6am-12 midnight: $0.36 per 15mins. No parking after 12 midnight.,-,6am-12 midnight: $0.36 per 15mins. No parking after 12 midnight.,6am-12 midnight: $0.36 per 15mins. No parking after 12 midnight.
293,Fusionopolis 1 & 2,7am-6pm: $1 for ½ hour or part thereof (per min. charging),After 6pm: $1 per entry,$1 per entry,$1 per entry
294,Genting Hotel Jurong,Mon-Thurs : $3 per hour or part thereof.,Mon-Thurs : $3 per hour or part thereof.,Fri/ Sat/ Sun/ PH: $4 per hr.,Fri/ Sat/ Sun/ PH: $4 per hr
295,Gillman Barracks,"8.30am-5pm: $0.60/30min for 1st 2hr, $3.00/hr from the 3rd hr",5pm-8.30am: Free parking,Free Parking,Free Parking
296,hillV2,Daily: $1.53 for 1st hr; $0.92 for every sub. 30min,-,-,-
297,Holland Road Shopping Centre,Mon-Thurs: 12am-9pm: $2.40 per 30min or part thereof,Mon-Thurs: 9pm-12am: $5 per entry,Friday/Saturday & eve of PH: 12am-9pm: $2.40 per 30min or part thereof; 9pm-12am: $6 per entry.,Friday/Saturday & eve of PH: 12am-9pm: $2.40 per 30min or part thereof; 9pm-12am: $6 per entry.
298,IKEA (Alexandra),Daily: $0.06 per minute,-,-,-
299,IMM Building,"First hour - Free (first entry only, excluding public holidays) Second hour of first entry or first hour of subsequent same-day entry - $1.20 sub. 15 minutes - $0.40",,First 1 hour - $1.20 (first entry only) sub. 15 minutes - $0.40,First 1 hour - $1.20 (first entry only) sub. 15 minutes - $0.40
300,Junction 10,$1.31 for 1st hr; $0.38 for every sub. 15min,-,$2.38 for 1st hr; $0.38 for every sub. 15min,$2.38 for 1st hr; $0.38 for every sub. 15min
301,Jurong Point Shopping Centre,7am-5pm: $1.50 for 1st 2hr; $1.30 for sub. hr,5pm-9pm: $2.60 for 1st 2hr; $1.30 for sub. hr; Aft 9pm: $1.50 for 1st 2hr; $1.30 for sub. hr,7am-9pm: First 2 hours at $2.60; sub. hour or part thereof $1.30; 9pm-7am: First 2 hours at $1.50; sub. hour or part thereof $1.30,7am-9pm: First 2 hours at $2.60; sub. hour or part thereof $1.30; 9pm-7am: First 2 hours at $1.50; sub. hour or part thereof $1.30
302,Link@896 (Formerly Sime Darby Centre),Daily: $1.09 per half hour; $2.18 per hour,-,-,-
303,Lot One,12am-5.59pm: $1.35 for 1st hr; $0.45 for sub. 15min,6pm-11.59pm: $2.65 per entry;,3am-5.59pm: $2.65 for 1st 2-hrs; $0.45 for sub. 15 min; 6pm-11.59pm: $2.65 per entry; 12.00am-2.59am: Sub. 15min or part thereof at $0.45,3am-5.59pm: $2.65 for 1st 2-hrs; $0.45 for sub. 15 min; 6pm-11.59pm: $2.65 per entry; 12.00am-2.59am: Sub. 15min or part thereof at $0.45
304,Mediapolis,Mon-Thurs: 7am-7pm: $0.60/30min,Mon-Thurs: 7pm-apm: $0.60/30min,Fri/Sat/Sun/PH: 10pm-6pm: $0.60/30min; 6pm-10pm: $4.00/entry,Fri/Sat/Sun/PH: 10pm-6pm: $0.60/30min; 6pm-10pm: $4.00/entry
305,NUH,Daily: $0.036/min,-,-,-
306,One Holland Village,$2.18 for 1st hr; $0.55 for sub. 15min.,6pm-7am: $3.27 per entry.,$2.29 for 1st hr; $0.57 for sub. 15min. 6pm-7am: $3.43 per entry.,$2.29 for 1st hr; $0.57 for sub. 15min. 6pm-7am: $3.43 per entry.
